sentence1	sentence2	label	genre
and now that was in fifty one that 's forty years ago that it was already a problem so it 's now uh	It was already a problem forty years ago but now it 's ten times worse !	neutral	telephone
Jon could smell baked bread on the air and his stomach rumbled .	Jon smelt food in the air and was hungry .	neutral	fiction
it will be like Italian basketball with the uh with with the uh NBA	This type of Italian basketball is nothing like the NBA .	contradiction	telephone
well i think that 's about uh that 's about covered it for me so i think i 'll say good-bye and we 'll	Sorry but we are not done just yet .	contradiction	telephone
Good job tenure , that is -- because in yet another column , she sneers at Sara Davidson for working on Dr. Quinn , Medicine Woman . Why ca n't the silly creature get a perfect job like hers ?	Dr. Quinn , Medicine Woman , was worked on by Sara Davidson .	entailment	slate
Second , the Senate request asked EPA to assume a 2002 start date in running the technology and policy scenarios .	The EPA started running the policy scenarios after 2002	neutral	government
have to see what uh April or May have to offer	We have to see how April and May will be .	entailment	telephone
Finally , boards have a clear responsibility to hold management accountable for results .	Management needs to be held accountable for results because all problems are the fault of management .	neutral	government
3 The Reorganization Act replaced this statutory codification of postal services with an administrative process in which the Governors of the Postal Service establish , and the Postal Rate Commission reviews proposed changes in , the terms and conditions of postal services , which are compiled as the Domestic Mail Classification Schedule ( or DMCS ) .	Postal Service Governors are not authorized to review any previous Postal Service changes .	neutral	government
yeah he was pretty good staying on the sidelines with his clipboard but he was n't he was n't worth a damn in the game	He performed fantastically in the game .	contradiction	telephone
On the central supporting pillar is a statue of John the Baptist ' beheaded not by Herod but by iconoclastic Huguenot vandals .	The statue of John the Baptist is the only one beheaded by the Huguenot vandals .	neutral	travel
Jon turned to Adrin , Vrenna , and San'doro .	Jon walked away without acknowledging the other three people .	contradiction	fiction
Slowly Tommy spoke .	Tommy did not talk quickly .	entailment	fiction
Much of the money given away by the Slate 60 goes to finance new buildings at already wealthy universities .	The Slate 60 gives away a lot of money to finance new buildings at wealthy universities .	entailment	slate
and you know how much you 're going to drive every week	Your driving changes every week .	contradiction	telephone
Even today there are few roads this really is one of the last true vestiges of wilderness in Jamaica .	The highway parts this area of extreme human developement .	contradiction	travel
The 21 heads discovered in 1977 are now displayed in the Musee de Cluny .	Musee de Cluny has the items recovered in 1977 .	entailment	travel
well not that much though	Yes , a whole lot of them .	contradiction	telephone
Regulars have shown up yearly for decades .	Regulars all abandoned it .	contradiction	travel
He far underestimated the boy .	He underestimated how good of a cook the young boy was .	neutral	fiction
In fact , they were assigned to these groups at random .	The kids were divided into basketball teams .	neutral	slate
While it considered several alternatives to reduce to the burden on small entities , the SEC found that separate treatment for small entities would not be consistent with the protection of investors .	The SEC was conducting a study on alternative ways to reduce burden to small entities .	entailment	government
there is a whole lot of stuff going on out there and and part of me says i just would like to you know shut my eyes and pretend it does n't you know go on or send them to private schools and then the you know the old social conscience says you know i 'm not working i do n't need to work maybe i should volunteer to you know teach what i know	I do n't care what school they go to as long as they learn .	contradiction	telephone
Video poker has become increasingly popular , so much so that there 's hardly a bar , grocery store , or laundromat in Las Vegas that does n't have at least two or three machines .	Video poker is a profitable business .	neutral	travel
Never before has a U.N. court been able to punish the actions of individuals . Both right- and left-wingers worry that the new U.N. tribunals will reprise the flaws of the Nuremberg and Tokyo trials , attempting to make political points and failing to adequately protect the rights of the accused .	No UN court has been able to punish individuals before .	entailment	slate
According to APHIS , this rule contains no federal mandates ( under the regulatory provisions of Title II of the Unfunded Mandates Reform Act of 1995 ) that may result in expenditures by state , local , and tribal governments , in the aggregate , or to the private sector , of $ 100 million or more in any one year .	The rule makes it clear that every action taken by the government will result in an increased fine .	contradiction	government
Hale 's story has n't changed at all since he spoke with Isikoff in '93 .	Hale 's story has stayed the same since 1993 .	entailment	slate
Still connected up to the polygraph machines , I could n't afford to let my heart spike .	I did n't care what the polygraph showed .	contradiction	fiction
The next major settlement , heading westwards , is Ribeira Brava ( if in a hurry , it can be reached in just 15 minutes on the via r ? ¡pida highway from Funchal ) .	Ribeira Brava is the very last settlement located all the way to the east .	contradiction	travel
The sick and crippled arrive in droves in search of miracle cures .	The sick and crippled arrive in numbers to be treated .	entailment	travel
The old laboratory is still intact , and there are exhibits on Chinese pharmacology and the history of medicine in Hong Kong .	The laboratory is dedicated to the preservation of woolly mammoths .	contradiction	travel
uh i was thinking about whether or not we should have people uh be required to do service public service for a year or two and i was thinking that you needed to put some waivers in there for the handicapped and also for people that had to stay home and maybe be wage earners for their family	The handicapped would need to be excused from public service .	entailment	telephone
It is then covered in the paste that gives jerk its name , placed on a rack over the pit fire , and turned every few minutes until it is ready .	A good rack to go over the pit fire is one of the most important parts of cooking good jerk .	neutral	travel
Beziers is a busy but compact city , with a delightful shady central promenade ' lined with cafe and restaurants ' called the Allees Paul Riquet , named for the engineer of the Canal du Midi .	Beziers ' central promenade is very bright and sunny .	contradiction	travel
